 ลำดับ, ชื่อท้องถิ่น, อำเภอ, จังหวัด, พื้นที่ (ตร.กม.), ปชก.ณ 30กันยายน62, ภาษีที่ดินและสิ่งปลูกสร้าง, ภาษีโรงเรือนและที่ดิน, ภาษีบำรุงท้องที่, ภาษีป้าย, อากรการฆ่าสัตว์, อากรรังนกอีแอ่น, ภาษีบำรุง อบจ. จากสถานค้าปลีกยาสูบ, ภาษีบำรุง อบจ. จากสถานค้าปลีกน้ำมัน, ค่าธรรมเนียมบำรุง อบจ. จากผู้เข้าพักโรงแรม, ค่าธรรมเนียม, ทรัพย์สิน, สาธารณูปโภค, เบ็ดเตล็ด, รวมรายได้จัดเก็บเอง, ภาษีและค่าธรรมเนียมรถยนต์หรือล้อเลื่อน, -  ภาษีมูลค่าเพิ่มที่จัดเก็บตามประมวลรัษฎากร 5%(อบจ),  - ภาษีมูลค่าเพิ่มตามกฎหมายท้องถิ่น,  - ภาษีมูลค่าเพิ่มตาม พ.ร.บ.กำหนดแผนฯ, ภาษีธุรกิจเฉพาะ, ภาษีสุรา, ภาษีสรรพสามิต, ภาษีการพนัน, ภาษียาสูบ, อากรประมง, ค่าภาคหลวงไม้, ค่าภาคหลวงแร่, ค่าภาคหลวงปิโตรเลียม, รายได้จากกฎหมายอุทยานแห่งชาติ, ค่าธรรมเนียมน้ำบาดาล, ค่าธรรมเนียมการจดทะเบียนสิทธิและนิติกรรมตามประมวลกฎหมายที่ดิน, ภาษีจัดสรรอื่น, รวมรายได้จากรัฐจัดสรร, เงินอุดหนุนทั่วไป, เงินอุดหนุนเฉพาะกิจ, รายได้จากเงินอุดหนุน, รวมรายได้ทั้งสิ้น
"  1,097 ", อบต.สระพัง, บ้านแท่น, ชัยภูมิ,  49.00 ,"  5,751.00 ","  27,628.62 ","  4,868.00 ",  563.67 ,"  27,168.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  123,125.00 ","  54,738.52 ",  -   ,"  55,600.00 ","  293,691.81 ","  319,061.91 ",  -   ,"  2,290,754.47 ","  8,386,323.23 ","  37,794.97 ",  -   ,"  4,516,800.51 ",  -   ,  -   ,  -   ,  -   ,"  39,219.98 ","  39,837.78 ","  9,436.40 ","  1,010.00 ","  1,043,543.00 ","  1,251.30 ","  16,685,033.55 ","  16,632,015.00 ","  2,309,194.00 ","  18,941,209.00 ","  35,919,934.36 "
"  1,098 ", อบต.สามสวน, บ้านแท่น, ชัยภูมิ,  77.00 ,"  10,690.00 ","  13,453.53 ",  -   ,  -   ,"  19,742.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  93,206.30 ","  301,284.21 ",  -   ,"  210,686.00 ","  638,372.04 ","  426,992.00 ",  -   ,"  4,109,198.18 ","  10,129,857.44 ","  67,831.65 ",  -   ,"  8,107,576.83 ",  -   ,  -   ,  -   ,  -   ,"  72,832.24 ","  72,039.84 ",  -   ,"  1,060.00 ","  1,828,710.00 ",  -   ,"  24,816,098.18 ","  57,209,293.52 ",  -   ,"  57,209,293.52 ","  82,663,763.74 "
"  1,099 ", อบต.หนองคู, บ้านแท่น, ชัยภูมิ,  60.29 ,"  6,930.00 ","  5,952.51 ",  180.00 ,  191.65 ,"  5,200.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  34,380.20 ","  273,064.78 ",  -   ,"  50,951.00 ","  369,920.14 ","  340,570.30 ",  -   ,"  2,657,596.04 ","  8,743,581.11 ","  43,867.84 ",  -   ,"  5,243,243.01 ",  -   ,  -   ,  -   ,  -   ,"  46,973.00 ","  46,560.77 ","  9,436.40 ",  -   ,"  852,329.00 ","  51,000.00 ","  18,035,157.47 ","  22,091,358.00 ","  10,418,307.00 ","  32,509,665.00 ","  50,914,742.61 "
"  1,100 ", อบต.เกาะมะนาว, บำเหน็จณรงค์, ชัยภูมิ,  63.50 ,"  3,183.00 ","  2,498.48 ",  -   ,"  1,180.00 ","  3,816.00 ","  21,560.00 ",  -   ,  -   ,  -   ,  -   ,"  16,393.00 ","  32,992.41 ",  -   ,"  7,564.80 ","  86,004.69 ","  255,107.59 ",  -   ,"  1,223,127.47 ","  9,279,430.37 ","  20,190.00 ",  -   ,"  2,413,193.25 ",  -   ,  -   ,  -   ,  -   ,"  21,643.29 ","  21,434.80 ",  -   ,  -   ,"  424,298.00 ",  -   ,"  13,658,424.77 ","  11,003,848.00 ","  11,835.00 ","  11,015,683.00 ","  24,760,112.46 "
"  1,101 ", อบต.โคกเพชรพัฒนา, บำเหน็จณรงค์, ชัยภูมิ,  100.00 ,"  5,815.00 ",  -   ,"  1,980.00 ","  6,335.00 ",  684.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,"  12,162.50 ","  12,281.06 ",  -   ,"  49,200.00 ","  82,642.56 ","  314,906.33 ",  -   ,"  2,226,615.59 ","  8,351,618.90 ","  29,758.86 ",  -   ,"  4,392,864.39 ",  -   ,  -   ,  -   ,  -   ,"  21,335.94 ","  47,130.14 ",  -   ,  -   ,"  416,595.00 ",  -   ,"  15,800,825.15 ","  17,992,358.00 ",  -   ,"  17,992,358.00 ","  33,875,825.71 "
"  1,102 ", อบต.โคกเริงรมย์, บำเหน็จณรงค์, ชัยภูมิ,  57.54 ,"  5,181.00 ",  -   ,  -   ,"  15,088.88 ","  28,840.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  100,611.91 ","  270,248.62 ",  -   ,  928.69 ,"  415,718.10 ","  300,887.07 ",  -   ,"  1,991,479.20 ","  7,463,477.59 ","  34,372.56 ",  -   ,"  3,929,046.32 ",  -   ,  -   ,  -   ,  -   ,"  35,200.89 ","  34,890.86 ",  -   ,  540.00 ,"  1,046,886.00 ",  -   ,"  14,836,780.49 ","  21,804,852.00 ",  -   ,"  21,804,852.00 ","  37,057,350.59 "
"  1,103 ", อบต.บ้านชวน, บำเหน็จณรงค์, ชัยภูมิ,  97.41 ,"  5,368.00 ","  18,370.94 ",  -   ,"  4,651.44 ","  30,630.00 ","  44,220.00 ",  -   ,  -   ,  -   ,  -   ,"  164,746.40 ","  196,359.97 ",  -   ,"  42,030.00 ","  501,008.75 ","  305,225.28 ",  -   ,"  2,064,025.24 ","  8,253,425.47 ","  34,387.27 ",  -   ,"  4,072,046.65 ",  -   ,  -   ,  -   ,  -   ,"  36,422.92 ","  36,147.82 ",  -   ,  -   ,"  1,388,789.00 ",  -   ,"  16,190,469.65 ","  17,951,953.00 ","  766,941.00 ","  18,718,894.00 ","  35,410,372.40 "
"  1,104 ", อบต.บ้านตาล, บำเหน็จณรงค์, ชัยภูมิ,  42.00 ,"  4,674.00 ","  26,289.63 ",  -   ,"  3,241.35 ","  38,057.80 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  83,510.09 ","  90,393.13 ",  -   ,"  22,860.00 ","  264,352.00 ","  289,265.23 ",  -   ,"  1,797,253.09 ","  7,953,913.41 ","  29,669.15 ",  -   ,"  3,546,250.62 ",  -   ,  -   ,  -   ,  -   ,"  31,955.76 ","  31,531.87 ",  -   ,  -   ,"  980,583.00 ","  1,134.90 ","  14,661,557.03 ","  21,924,877.07 ","  3,301,973.00 ","  25,226,850.07 ","  40,152,759.10 "
"  1,105 ", อบต.บ้านเพชร, บำเหน็จณรงค์, ชัยภูมิ,  57.90 ,"  9,718.00 ","  71,112.54 ","  2,137.00 ","  2,526.41 ","  202,630.20 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  118,384.10 ","  432,697.69 ",  -   ,"  44,890.00 ","  874,377.94 ","  405,483.61 ",  -   ,"  3,747,381.29 ","  9,779,999.42 ","  61,856.94 ",  -   ,"  7,393,378.36 ",  -   ,  -   ,  -   ,  -   ,"  66,267.29 ","  65,661.23 ",  -   ,  -   ,"  1,882,966.00 ",  -   ,"  23,402,994.14 ","  35,145,258.00 ","  1,299,665.00 ","  36,444,923.00 ","  60,722,295.08 "
"  1,106 ", อบต.หัวทะเล, บำเหน็จณรงค์, ชัยภูมิ,  68.00 ,"  6,891.00 ","  230,230.70 ",  -   ,"  9,958.00 ","  47,428.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  63,432.30 ","  251,422.50 ",  -   ,  27.00 ,"  602,498.50 ","  339,908.16 ",  -   ,"  2,646,450.68 ","  8,792,214.56 ","  43,683.79 ",  -   ,"  5,221,239.90 ",  -   ,  -   ,  -   ,  -   ,"  46,769.33 ","  46,363.96 ",  -   ,"  1,060.00 ","  1,045,375.00 ",  -   ,"  18,183,065.38 ","  24,627,335.00 ","  2,072,091.92 ","  26,699,426.92 ","  45,484,990.80 "
"  1,107 ", อบต.เจาทอง, ภักดีชุมพล, ชัยภูมิ,  104.00 ,"  9,043.00 ","  2,175.52 ",  -   ,  -   ,"  17,686.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  160,812.30 ","  69,142.15 ",  -   ,"  36,630.00 ","  286,445.97 ","  388,724.44 ",  -   ,"  3,466,245.02 ","  9,398,178.99 ","  57,216.89 ",  -   ,"  6,838,802.42 ",  -   ,  -   ,  -   ,  -   ,"  61,338.49 ","  60,745.12 ","  8,847.00 ",  -   ,  -   ,  -   ,"  20,280,098.37 ","  32,842,432.00 ",  -   ,"  32,842,432.00 ","  53,408,976.34 "
"  1,108 ", อบต.บ้านเจียง, ภักดีชุมพล, ชัยภูมิ,  210.00 ,"  6,897.00 ","  23,339.58 ",  -   ,  188.16 ,"  25,951.60 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  17,968.40 ","  283,681.46 ",  -   ,"  542,715.79 ","  893,844.99 ","  338,903.52 ",  -   ,"  2,630,273.16 ","  8,735,551.24 ","  43,418.83 ",  -   ,"  5,189,641.19 ",  -   ,  -   ,  -   ,  -   ,"  46,633.55 ","  46,115.57 ","  8,847.00 ",  -   ,  -   ,  -   ,"  17,039,384.06 ","  23,142,231.00 ","  13,192,289.00 ","  36,334,520.00 ","  54,267,749.05 "
"  1,109 ", อบต.วังทอง, ภักดีชุมพล, ชัยภูมิ,  122.00 ,"  8,929.00 ","  5,795.66 ",  -   ,  -   ,"  173,417.00 ","  4,995.00 ",  -   ,  -   ,  -   ,  -   ,"  161,847.02 ","  62,624.56 ",  -   ,  5.00 ,"  408,684.24 ","  386,372.69 ",  -   ,"  3,424,751.92 ","  9,414,668.08 ","  472,959.55 ",  -   ,"  6,756,004.28 ",  -   ,  -   ,  -   ,  -   ,"  60,163.99 ","  59,915.38 ","  8,847.00 ",  -   ,  -   ,  -   ,"  20,583,682.89 ","  29,928,096.00 ","  6,267,440.00 ","  36,195,536.00 ","  57,187,903.13 "
"  1,110 ", อบต.แหลมทอง, ภักดีชุมพล, ชัยภูมิ,  355.00 ,"  6,313.00 ","  16,839.00 ",  -   ,  -   ,"  6,518.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  140,560.00 ","  82,253.99 ",  -   ,"  33,405.00 ","  279,575.99 ","  326,094.34 ",  -   ,"  2,415,395.97 ","  8,495,514.09 ","  39,872.35 ",  -   ,"  4,765,767.93 ",  -   ,  -   ,  -   ,  -   ,"  42,865.66 ","  42,357.97 ","  8,847.00 ",  -   ,  -   ,"  1,037.90 ","  16,137,753.21 ","  19,955,165.00 ","  5,515,877.00 ","  25,471,042.00 ","  41,888,371.20 "
"  1,111 ", อบต.กวางโจน, ภูเขียว, ชัยภูมิ,  78.60 ,"  11,688.00 ","  7,466.47 ",  -   ,  403.26 ,"  8,263.00 ",  200.00 ,  -   ,  -   ,  -   ,  -   ,"  342,444.00 ","  292,281.86 ",  -   ,"  195,130.03 ","  846,188.62 ","  448,751.56 ",  -   ,"  4,473,020.91 ","  10,351,853.47 ","  76,160.78 ",  -   ,"  8,824,707.38 ",  -   ,  145.50 ,  -   ,  -   ,"  78,949.13 ","  78,340.82 ",  -   ,"  3,744.60 ","  2,467,207.00 ",  -   ,"  26,802,881.15 ","  41,795,960.00 ","  11,388,813.00 ","  53,184,773.00 ","  80,833,842.77 "
"  1,112 ", อบต.กุดยม, ภูเขียว, ชัยภูมิ,  73.71 ,"  5,290.00 ","  8,551.40 ",  -   ,  -   ,"  7,556.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  142,974.54 ","  198,662.08 ",  -   ,"  10,000.00 ","  367,744.02 ","  302,599.54 ",  -   ,"  2,020,315.27 ","  7,686,299.76 ","  33,348.80 ",  -   ,"  3,985,979.91 ",  -   ,  -   ,  -   ,  -   ,"  35,730.44 ","  35,400.57 ",  -   ,"  2,530.00 ","  1,215,478.00 ",  -   ,"  15,317,682.29 ","  19,088,083.63 ","  2,836,511.00 ","  21,924,594.63 ","  37,610,020.94 "
"  1,113 ", อบต.โคกสะอาด, ภูเขียว, ชัยภูมิ,  40.80 ,"  8,888.00 ","  860,376.51 ",  -   ,  -   ,"  324,566.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  880,803.80 ","  369,326.43 ",  -   ,"  308,000.00 ","  2,743,072.74 ","  385,002.68 ",  -   ,"  3,406,202.37 ","  9,529,930.08 ","  56,233.17 ",  -   ,"  6,721,470.07 ",  -   ,  -   ,  -   ,  -   ,"  60,808.95 ","  59,817.21 ",  -   ,  -   ,"  2,233,535.00 ",  -   ,"  22,452,999.53 ","  33,977,098.10 ","  94,821.00 ","  34,071,919.10 ","  59,267,991.37 "
"  1,114 ", อบต.บ้านดอน, ภูเขียว, ชัยภูมิ,  33.16 ,"  6,255.00 ","  14,158.89 ",  -   ,  -   ,"  5,560.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  31,444.00 ","  41,441.73 ",  -   ,"  71,240.00 ","  163,844.62 ","  325,500.71 ",  -   ,"  2,403,620.44 ","  8,546,765.74 ","  40,797.69 ",  -   ,"  4,741,695.85 ",  -   ,  -   ,  -   ,  -   ,"  39,925.73 ","  44,394.93 ",  -   ,"  3,030.00 ","  1,194,747.00 ",  -   ,"  17,340,478.09 ","  19,685,909.00 ","  52,580.00 ","  19,738,489.00 ","  37,242,811.71 "
"  1,115 ", อบต.บ้านเพชร, ภูเขียว, ชัยภูมิ,  27.07 ,"  3,221.00 ","  2,727.00 ",  450.00 ,  -   ,"  3,850.00 ",  10.00 ,  -   ,  -   ,  -   ,  -   ,"  9,594.20 ","  196,538.44 ",  -   ,"  19,350.09 ","  232,519.73 ","  255,975.19 ",  -   ,"  1,236,775.32 ","  9,137,969.13 ","  20,412.51 ",  -   ,"  2,439,694.33 ",  -   ,  -   ,  -   ,  -   ,"  21,684.02 ","  21,627.14 ",  -   ,"  2,050.00 ","  1,176,011.00 ",  -   ,"  14,312,198.64 ","  11,262,626.00 ",  -   ,"  11,262,626.00 ","  25,807,344.37 "
"  1,116 ", อบต.ผักปัง, ภูเขียว, ชัยภูมิ,  62.06 ,"  13,807.00 ",  -   ,  -   ,  959.94 ,"  300,267.00 ","  48,765.00 ",  -   ,  -   ,  -   ,  -   ,"  433,123.56 ","  1,286,615.12 ",  -   ,"  188,710.00 ","  2,258,440.62 ","  498,640.99 ",  -   ,"  5,314,880.32 ","  11,086,764.21 ","  87,742.38 ",  -   ,"  10,487,681.94 ",  -   ,  -   ,  -   ,  -   ,"  94,794.61 ","  93,315.33 ",  -   ,  520.00 ,"  3,938,102.00 ",  -   ,"  31,602,441.78 ","  44,902,910.91 ","  5,196,232.00 ","  50,099,142.91 ","  83,960,025.31 "
"  1,117 ", อบต.หนองคอนไทย, ภูเขียว, ชัยภูมิ,  45.51 ,"  10,789.00 ","  9,569.89 ",  -   ,  -   ,"  4,600.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  312,081.20 ","  639,073.17 ",  -   ,"  116,394.00 ","  1,081,718.26 ","  429,937.41 ",  -   ,"  4,158,849.05 ","  10,242,745.57 ","  68,651.85 ",  -   ,"  8,205,631.30 ",  -   ,  -   ,  -   ,  -   ,"  73,755.55 ","  72,920.36 ",  -   ,"  1,510.00 ","  1,531,104.00 ",  -   ,"  24,785,105.09 ","  47,313,158.46 ","  1,049,610.09 ","  48,362,768.55 ","  74,229,591.90 "
"  1,118 ", อบต.หนองตูม, ภูเขียว, ชัยภูมิ,  48.12 ,"  11,535.00 ","  15,411.10 ",  -   ,  -   ,"  6,072.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  393,879.04 ","  330,807.33 ",  -   ,"  42,350.00 ","  788,519.47 ","  445,303.83 ",  -   ,"  4,416,027.80 ","  10,368,786.76 ","  72,894.68 ",  -   ,"  8,712,672.67 ",  -   ,  -   ,  -   ,  33.00 ,"  78,134.44 ","  77,387.23 ",  -   ,"  1,040.00 ","  2,344,665.00 ",  -   ,"  26,516,945.41 ","  41,942,894.80 ","  44,118.00 ","  41,987,012.80 ","  69,292,477.68 "
"  1,119 ", อบต.โอโล, ภูเขียว, ชัยภูมิ,  72.37 ,"  9,367.00 ","  34,402.29 ",  -   ,  -   ,"  63,710.80 ","  6,695.00 ",  -   ,  -   ,  -   ,  -   ,"  315,177.10 ","  374,540.83 ",  -   ,"  63,800.00 ","  858,326.02 ","  396,419.03 ",  -   ,"  3,595,341.90 ","  9,668,411.48 ","  59,347.64 ",  -   ,"  7,093,470.88 ",  -   ,  -   ,  -   ,  -   ,"  63,606.00 ","  63,003.58 ",  -   ,  -   ,"  1,521,310.00 ",  -   ,"  22,460,910.51 ","  32,740,425.00 ","  66,256.00 ","  32,806,681.00 ","  56,125,917.53 "
"  1,120 ", อบต.กุดตุ้ม, เมืองชัยภูมิ, ชัยภูมิ,  84.00 ,"  10,501.00 ","  15,563.15 ",  110.00 ,  251.92 ,"  62,344.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  137,677.61 ","  532,645.34 ",  -   ,"  5,823.50 ","  754,415.52 ","  423,019.10 ",  -   ,"  4,044,106.27 ","  10,148,250.64 ","  66,762.05 ",  -   ,"  7,979,896.00 ",  -   ,  -   ,  -   ,  -   ,"  72,031.14 ","  70,980.95 ",  -   ,"  2,050.00 ","  2,133,066.00 ",  -   ,"  24,940,162.15 ","  47,440,441.87 ","  130,260.00 ","  47,570,701.87 ","  73,265,279.54 "
"  1,121 ", อบต.ซับสีทอง, เมืองชัยภูมิ, ชัยภูมิ,  51.04 ,"  6,000.00 ","  11,038.57 ","  4,913.00 ","  1,723.00 ","  15,954.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  254,284.90 ","  139,414.92 ",  -   ,"  163,945.02 ","  591,273.41 ","  319,746.84 ",  -   ,"  2,309,030.55 ","  8,510,575.98 ","  49,302.68 ",  -   ,"  4,556,001.96 ",  -   ,  -   ,  -   ,  -   ,"  41,025.84 ","  40,503.81 ","  4,730.00 ","  1,530.00 ",  -   ,  -   ,"  15,832,447.66 ","  18,273,809.03 ","  6,747,119.30 ","  25,020,928.33 ","  41,444,649.40 "
"  1,122 ", อบต.ท่าหินโงม, เมืองชัยภูมิ, ชัยภูมิ,  40.30 ,"  6,078.00 ","  5,960.45 ",  -   ,  -   ,"  15,359.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  10,609.50 ","  117,381.81 ",  -   ,  640.00 ,"  149,950.76 ","  321,641.98 ",  -   ,"  2,338,722.41 ","  8,401,049.13 ","  38,600.87 ",  -   ,"  4,613,598.67 ",  -   ,  -   ,  -   ,  -   ,"  41,086.94 ","  40,915.81 ","  163,849.88 ",  -   ,  -   ,  -   ,"  15,959,465.69 ","  19,098,553.00 ","  83,860.00 ","  19,182,413.00 ","  35,291,829.45 "
"  1,123 ", อบต.นาฝาย, เมืองชัยภูมิ, ชัยภูมิ,  111.00 ,"  11,832.00 ","  103,634.43 ",  -   ,"  1,251.00 ","  87,229.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  939,635.75 ","  368,994.56 ","  1,212,555.65 ","  101,605.30 ","  2,814,905.69 ","  451,605.63 ",  -   ,"  4,522,085.95 ","  10,395,739.65 ","  80,766.89 ",  -   ,"  8,922,045.46 ",  -   ,  -   ,  -   ,  -   ,"  80,069.32 ","  79,259.40 ","  163,849.87 ","  8,130.00 ","  3,923,878.00 ",  -   ,"  28,627,430.17 ","  44,090,930.00 ",  -   ,"  44,090,930.00 ","  75,533,265.86 "
"  1,124 ", อบต.นาเสียว, เมืองชัยภูมิ, ชัยภูมิ,  106.54 ,"  7,358.00 ","  5,264.00 ",  -   ,"  1,569.74 ","  27,972.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  353,281.88 ","  10,000.00 ",  -   ,  -   ,"  398,087.62 ","  350,342.70 ",  -   ,"  2,821,691.03 ","  9,001,310.87 ","  46,576.66 ",  -   ,"  5,567,016.05 ",  -   ,  -   ,  -   ,  -   ,"  49,885.47 ","  49,438.55 ","  163,849.88 ","  9,220.00 ","  1,285,879.00 ","  5,936.40 ","  19,351,146.61 ","  5,773,313.00 ","  15,949,330.47 ","  21,722,643.47 ","  41,471,877.70 "
"  1,125 ", อบต.โนนสำราญ, เมืองชัยภูมิ, ชัยภูมิ,  32.56 ,"  6,858.00 ","  14,297.04 ",  -   ,  -   ,"  5,420.00 ","  6,080.00 ",  -   ,  -   ,  -   ,  -   ,"  32,169.00 ","  221,003.23 ",  -   ,"  95,661.50 ","  374,630.77 ","  340,182.13 ",  -   ,"  2,651,194.23 ","  8,847,528.83 ","  45,275.72 ",  -   ,"  5,230,665.53 ",  -   ,  -   ,  -   ,  -   ,"  46,884.74 ","  46,454.46 ",  -   ,  -   ,"  1,198,130.00 ",  -   ,"  18,406,315.64 ","  31,004,419.31 ","  761,270.00 ","  31,765,689.31 ","  50,546,635.72 "
"  1,126 ", อบต.บ้านค่าย, เมืองชัยภูมิ, ชัยภูมิ,  40.40 ,"  7,490.00 ","  1,682.75 ",  -   ,  -   ,"  14,830.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  219,844.44 ","  256,894.88 ",  -   ,"  54,858.72 ","  548,110.79 ","  353,973.06 ",  -   ,"  2,883,961.65 ","  9,067,744.21 ","  47,608.58 ",  -   ,"  5,690,488.69 ",  20.00 ,  -   ,  -   ,  -   ,"  51,277.21 ","  50,597.43 ",  -   ,  -   ,"  983,977.00 ",  -   ,"  19,129,647.83 ","  33,877,105.57 ","  561,877.28 ","  34,438,982.85 ","  54,116,741.47 "
"  1,127 ", อบต.บ้านเล่า, เมืองชัยภูมิ, ชัยภูมิ,  33.13 ,"  8,691.00 ","  27,481.57 ","  3,713.00 ",  313.00 ,"  64,047.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  344,500.50 ","  163,795.46 ",  -   ,"  49,700.00 ","  653,550.53 ","  380,390.57 ",  -   ,"  3,326,673.24 ","  9,461,002.59 ","  65,361.10 ",  -   ,"  6,563,586.81 ",  -   ,  -   ,  -   ,  -   ,"  58,941.99 ","  42,629.83 ",  -   ,"  3,660.00 ","  3,963,007.00 ",  -   ,"  23,865,253.13 ","  31,529,233.49 ","  20,000.00 ","  31,549,233.49 ","  56,068,037.15 "
"  1,128 ", อบต.บุ่งคล้า, เมืองชัยภูมิ, ชัยภูมิ,  49.57 ,"  7,629.00 ","  201,593.15 ",  -   ,"  1,498.80 ","  672,273.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  829,101.40 ","  186,516.71 ",  -   ,"  84,060.53 ","  1,975,043.59 ","  356,233.50 ",  -   ,"  2,921,538.29 ","  9,094,051.69 ","  48,227.73 ",  -   ,"  5,764,454.38 ",  -   ,  -   ,  -   ,  -   ,"  51,861.06 ","  51,236.95 ",  -   ,  -   ,"  1,434,879.00 ",  -   ,"  19,722,482.60 ","  27,830,396.00 ","  29,682.00 ","  27,860,078.00 ","  49,557,604.19 "
"  1,129 ", อบต.โพนทอง, เมืองชัยภูมิ, ชัยภูมิ,  31.00 ,"  9,061.00 ","  62,176.22 ",  -   ,  415.00 ,"  143,484.80 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  502,682.05 ","  306,639.90 ",  -   ,"  139,460.00 ","  1,154,857.97 ","  388,907.07 ",  -   ,"  3,468,995.83 ","  9,479,519.44 ","  57,261.34 ",  -   ,"  6,844,083.32 ",  -   ,  -   ,  -   ,  -   ,"  61,318.13 ","  60,777.30 ",  -   ,"  5,610.00 ","  2,896,929.00 ",  -   ,"  23,263,401.43 ","  33,749,779.00 ","  788,677.28 ","  34,538,456.28 ","  58,956,715.68 "
"  1,130 ", อบต.รอบเมือง, เมืองชัยภูมิ, ชัยภูมิ,  17.66 ,"  3,220.00 ","  64,365.86 ",  77.00 ,"  1,851.42 ","  212,973.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  476,711.00 ","  141,687.91 ",  -   ,  -   ,"  897,666.19 ","  254,445.38 ",  -   ,"  1,210,345.53 ","  8,102,856.97 ","  17,632.07 ",  -   ,"  2,387,202.06 ",  -   ,  -   ,  -   ,  -   ,"  21,052.66 ","  21,125.79 ",  -   ,  -   ,"  4,464,181.00 ",  -   ,"  16,478,841.46 ","  2,651,956.00 ",  -   ,"  2,651,956.00 ","  20,028,463.65 "
"  1,131 ", อบต.ลาดใหญ่, เมืองชัยภูมิ, ชัยภูมิ,  11.64 ,"  2,980.00 ","  13,666.23 ",  -   ,  219.00 ,"  10,430.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  502,969.90 ","  174,070.61 ",  -   ,"  24,500.09 ","  725,855.83 ","  250,244.16 ",  -   ,"  1,141,248.01 ","  9,033,158.09 ","  18,837.72 ",  -   ,"  2,251,538.28 ",  -   ,  -   ,  -   ,  -   ,"  20,142.92 ","  19,987.77 ",  -   ,"  1,510.00 ","  899,115.00 ",  -   ,"  13,635,781.95 ","  14,446,302.75 ",  -   ,"  14,446,302.75 ","  28,807,940.53 "
"  1,132 ", อบต.หนองนาแซง, เมืองชัยภูมิ, ชัยภูมิ,  28.15 ,"  8,213.00 ","  154,118.72 ",  -   ,"  10,110.71 ","  1,026,613.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  780,622.69 ","  133,616.77 ",  -   ,"  108,580.00 ","  2,213,661.89 ","  369,544.94 ",  -   ,"  3,145,279.48 ","  9,241,869.25 ","  51,921.82 ",  -   ,"  6,206,016.07 ",  -   ,  -   ,  -   ,  -   ,"  871,375.44 ","  40,344.14 ",  -   ,  -   ,"  2,029,001.77 ","  1,001.00 ","  21,956,353.91 ","  26,763,479.53 ","  13,522,473.00 ","  40,285,952.53 ","  64,455,968.33 "
"  1,133 ", อบต.หนองไผ่, เมืองชัยภูมิ, ชัยภูมิ,  46.88 ,"  6,472.00 ","  3,525.95 ",  -   ,"  7,338.00 ","  2,860.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  452,805.40 ","  355,048.59 ",  -   ,"  44,324.17 ","  865,902.11 ","  331,163.24 ",  -   ,"  2,500,869.03 ","  8,725,306.64 ","  41,284.41 ",  -   ,"  4,934,579.55 ",  -   ,  -   ,  -   ,  -   ,"  44,461.07 ","  43,875.20 ",  -   ,  -   ,"  1,310,893.00 ",  -   ,"  17,932,432.14 ","  26,330,460.82 ","  3,570,397.44 ","  29,900,858.26 ","  48,699,192.51 "
"  1,134 ", อบต.ห้วยต้อน, เมืองชัยภูมิ, ชัยภูมิ,  117.47 ,"  10,843.00 ","  19,323.65 ",  -   ,"  17,522.78 ","  12,630.00 ","  6,516.00 ",  -   ,  -   ,  -   ,  -   ,"  384,277.30 ","  209,110.40 ",  -   ,"  155,479.00 ","  804,859.13 ","  428,955.61 ",  -   ,"  4,140,470.75 ","  10,008,003.81 ","  68,342.74 ",  -   ,"  8,168,491.96 ",  -   ,  -   ,  -   ,  -   ,"  73,015.55 ","  72,501.62 ","  179,765.37 ","  3,520.00 ","  409,304.00 ",  -   ,"  23,552,371.41 ","  37,574,089.00 ","  224,812.80 ","  37,798,901.80 ","  62,156,132.34 "
